Name,MW,LogP,HBD,HBA,Violations,Passes_Lipinski,SMILES
Imatinib,493.6,4.59,2,7,0,True,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
Gefitinib,446.9,4.28,1,7,0,True,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
Erlotinib,393.4,3.41,1,7,0,True,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC
Dasatinib,488.0,3.31,3,9,0,True,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
Sunitinib,398.5,3.33,3,3,0,True,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
Sorafenib,464.8,5.55,3,4,1,False,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
Lapatinib,581.1,6.14,2,8,2,False,CS(=O)(=O)CCNCc1oc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1
Palbociclib,447.5,2.97,2,8,0,True,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)nc3)nc2n(C3CCCC3)c1=O
Ribociclib,434.5,2.8,2,7,0,True,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)nc3)nc2n1C1CCCC1
Osimertinib,499.6,4.51,2,7,0,True,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
Ibrutinib,440.5,4.22,1,6,0,True,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
Pazopanib,437.5,3.14,2,7,0,True,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
Regorafenib,482.8,5.69,3,4,1,False,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1
Axitinib,386.5,4.64,2,4,0,True,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
Nilotinib,529.5,6.36,2,6,2,False,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
Cabozantinib,519.5,5.68,2,6,2,False,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c2cc1OC
Crizotinib,450.3,5.04,2,5,1,False,C[C@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
Vemurafenib,489.9,5.54,2,4,1,False,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F
Bosutinib,530.5,5.19,1,8,2,False,COc1cc2ncc(C#N)c(Nc3cc(Cl)c(Cl)cc3OC)c2cc1OCCCN1CCN(C)CC1
Abemaciclib,506.6,4.94,1,7,1,False,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc5nc(C)n(C(C)C)c5cc4F)n3)nc2)CC1
